Title = "Equation Residuals in Tecplot ASCII Format Generated by ASOP(R) Flow Solver 2.5 : v2.5.7"
 Variables = "No", "Res-Eqn_01", "Res-Eqn_02", "Res-Eqn_03", "Res-Eqn_04", "Res-Eqn_05", "Mass_In-01", "Mass_Ex-01", "PT_In-01", "PT_Ex-01", "TT_In-01", "TT_Ex-01",
       280  0.239156E+00  0.127740E+01  0.639604E+01  0.000000E+00  0.359760E+00  0.281210E+02  0.101164E+03  0.142389E+06  0.997277E+05  0.286071E+03  0.280321E+03
       290  0.238311E+00  0.128469E+01  0.600043E+01  0.000000E+00  0.359457E+00  0.279471E+02  0.999642E+02  0.142401E+06  0.995486E+05  0.286070E+03  0.280147E+03
       300  0.237015E+00  0.128966E+01  0.610912E+01  0.000000E+00  0.358299E+00  0.278472E+02  0.988738E+02  0.142411E+06  0.993889E+05  0.286070E+03  0.279994E+03
       310  0.235663E+00  0.129086E+01  0.649026E+01  0.000000E+00  0.356932E+00  0.277395E+02  0.978764E+02  0.142422E+06  0.992437E+05  0.286070E+03  0.279856E+03
       320  0.235259E+00  0.128754E+01  0.664527E+01  0.000000E+00  0.356931E+00  0.275122E+02  0.969509E+02  0.142434E+06  0.991075E+05  0.286072E+03  0.279732E+03
       330  0.235437E+00  0.128036E+01  0.644363E+01  0.000000E+00  0.357859E+00  0.270398E+02  0.960696E+02  0.142451E+06  0.989747E+05  0.286080E+03  0.279618E+03
       340  0.234404E+00  0.127092E+01  0.618133E+01  0.000000E+00  0.357153E+00  0.262532E+02  0.951986E+02  0.142480E+06  0.988390E+05  0.286095E+03  0.279509E+03
       350  0.231376E+00  0.125990E+01  0.618751E+01  0.000000E+00  0.353653E+00  0.252264E+02  0.943001E+02  0.142520E+06  0.986950E+05  0.286116E+03  0.279404E+03
       360  0.227239E+00  0.124733E+01  0.653340E+01  0.000000E+00  0.348531E+00  0.241798E+02  0.933365E+02  0.142570E+06  0.985385E+05  0.286141E+03  0.279296E+03
       370  0.223849E+00  0.123399E+01  0.689950E+01  0.000000E+00  0.344321E+00  0.233700E+02  0.922767E+02  0.142616E+06  0.983678E+05  0.286158E+03  0.279183E+03
